metric,stat,pval,group1,group2
TLOC,0.3164913802450396,0.01717248786246361,__ALL__,parsers/generators/make
TLOC,0.3494834342714642,0.05242188183151647,__ALL__,3D/graphics/media
TLOC,0.5896796470362555,9.27847698925677e-05,__ALL__,diagram generator/data visualization
TLOC,0.6070537940862131,0.005603822872654218,__ALL__,programming language
TLOC,0.25967974799842497,0.1358746916940716,__ALL__,database
TLOC,0.2612813205082532,4.554986132619801e-05,__ALL__,middleware
TLOC,0.13290429839380044,5.3202632918404525e-05,__ALL__,IDE
TLOC,0.2947777614786563,0.08896101041936676,__ALL__,testing
TLOC,0.40046622573999785,8.41984711122459e-07,__ALL__,tool
TLOC,0.13500033699534947,0.051502214831503364,__ALL__,SDK
TLOC,0.8067331670822943,0.014891685612530474,__ALL__,games
TLOC,0.30434782608695654,0.3210960004694874,parsers/generators/make,3D/graphics/media
TLOC,0.4983277591973244,0.0203991536053304,parsers/generators/make,diagram generator/data visualization
TLOC,0.4968944099378882,0.09986049710187643,parsers/generators/make,programming language
TLOC,0.30434782608695654,0.22197982530954127,parsers/generators/make,database
TLOC,0.36283643892339545,0.011984448922133718,parsers/generators/make,middleware
TLOC,0.31603553062178585,0.019017767840854502,parsers/generators/make,IDE
TLOC,0.4475703324808184,0.025459322048514726,parsers/generators/make,testing
TLOC,0.43478260869565216,0.004956236799983393,parsers/generators/make,tool
TLOC,0.37602820211515864,0.006220899386416613,parsers/generators/make,SDK
TLOC,0.6956521739130435,0.0923076923076923,parsers/generators/make,games
TLOC,0.32967032967032966,0.37074054132204615,3D/graphics/media,diagram generator/data visualization
TLOC,0.42857142857142855,0.3413054695562436,3D/graphics/media,programming language
TLOC,0.21052631578947367,0.781828606713261,3D/graphics/media,database
TLOC,0.2619047619047619,0.34240334154900137,3D/graphics/media,middleware
TLOC,0.47465437788018433,0.002481393868930442,3D/graphics/media,IDE
TLOC,0.35714285714285715,0.21189832927339386,3D/graphics/media,testing
TLOC,0.3416149068322981,0.1272344647090076,3D/graphics/media,tool
TLOC,0.40025740025740025,0.025025028656530432,3D/graphics/media,SDK
TLOC,0.5238095238095238,0.388235294117647,3D/graphics/media,games
TLOC,0.42857142857142855,0.25717234262125904,diagram generator/data visualization,programming language
TLOC,0.4777327935222672,0.041771003898972175,diagram generator/data visualization,database
TLOC,0.4010989010989011,0.037379710626074945,diagram generator/data visualization,middleware
TLOC,0.711166253101737,6.040077926609765e-07,diagram generator/data visualization,IDE
TLOC,0.3167420814479638,0.3702467229209121,diagram generator/data visualization,testing
TLOC,0.24749163879598662,0.47618769546414325,diagram generator/data visualization,tool
TLOC,0.6340956340956341,5.278296507920817e-05,diagram generator/data visualization,SDK
TLOC,0.5128205128205128,0.44999999999999996,diagram generator/data visualization,games
TLOC,0.43609022556390975,0.21104287017330498,programming language,database
TLOC,0.5,0.05543431243026996,programming language,middleware
TLOC,0.6927803379416283,0.0007951563736304332,programming language,IDE
TLOC,0.42857142857142855,0.22934724822596678,programming language,testing
TLOC,0.36335403726708076,0.31845659240752167,programming language,tool
TLOC,0.6692406692406693,0.0019161511802830973,programming language,SDK
TLOC,0.42857142857142855,0.7000000000000001,programming language,games
TLOC,0.2901002506265664,0.1168195247964551,database,middleware
TLOC,0.3168081494057725,0.039346452087312155,database,IDE
TLOC,0.42105263157894735,0.05673241859729261,database,testing
TLOC,0.36155606407322655,0.04377839715121893,database,tool
TLOC,0.2977714556661925,0.08906571662028495,database,SDK
TLOC,0.631578947368421,0.17142857142857143,database,games
TLOC,0.3936251920122888,2.0732629449566833e-10,middleware,IDE
TLOC,0.18627450980392157,0.6298300274613435,middleware,testing
TLOC,0.2246376811594203,0.08249919317354315,middleware,tool
TLOC,0.29504504504504503,0.00034609753967859686,middleware,SDK
TLOC,0.5952380952380952,0.17302702957686691,middleware,games
TLOC,0.414674256799494,0.004577582517636314,IDE,testing
TLOC,0.522674146797569,4.0688874941993954e-11,IDE,tool
TLOC,0.21697181052019762,0.00034672076347945426,IDE,SDK
TLOC,0.9290322580645162,0.0008412610998746602,IDE,games
TLOC,0.1445012787723785,0.9151548424960521,testing,tool
TLOC,0.3487016428192899,0.04183086850804299,testing,SDK
TLOC,0.6078431372549019,0.20526315789473681,testing,games
