"Metric","Discrete"
"TLOC","True"
"NOP","True"
"NOC","True"
"NOI","True"
"NOM","True"
"NOF","True"
"NORM","True"
"PAR","True"
"NSM","True"
"NSF","True"
"WMC","True"
"DIT","True"
"NSC","True"
"LCOM","False"
"MLOC","True"
"SIX","False"
"VG","False"
"NBD","True"
"RMD","False"
"CA","True"
"CE","True"
"RMI","False"
"RMA","False"
