"Metric","Ideal"
"TLOC",""
"NOP",""
"NOC",""
"NOI",""
"NOM",""
"NOF",""
"NORM",""
"PAR",""
"NSM",""
"NSF",""
"WMC",0
"DIT",""
"NSC",""
"LCOM",0
"MLOC",""
"SIX",0
"VG",1
"NBD",""
"RMD",0
"CA",""
"CE",""
"RMI",0
"RMA",""
